"","cu70","Ac62","Ac50","Ac41","Ac7","Ac31","cu12","cu80","cu76","cu19","Ap20","Ap14","Ap24","Ap5","Ap19","Ap22"
"Quant.1.0","0.328249904749075","0.285514202464812","0.359864264099029","0.33773584409883","0.287006494228085","0.294364948963582","0.315649661606809","0.308176862664792","0.251540926107882","0.303450214564382","0.254792234663382","0.314735450552985","0.298924892863171","0.303345856573541","0.321264759574569","0.278578091805978"
"Sigma.1.0","8.85035315018322","7.68992456559677","7.47826227784273","7.31739877263491","7.4991966376773","7.67991170373557","6.51437726651623","5.72476232030983","6.80177208808028","7.49090936089288","6.09600924297313","5.96518281077199","6.90548704512158","6.28911349006209","6.16125445096652","6.54674452316162"
"Connect.1.0","0.223476002488396","0.082394796072393","0.157920315325396","0.0549941881410955","0.061424090236509","0.103567663547167","0.10347218766957","0.0158524738207085","0","0.0858283875264035","0","0.060719769917172","0.08423414189252","0","0.0858554480169633","0.094774827807091"
"Tau1.1.0","1012.82275891765","1408.93232834539","1054.91384428085","1331.0550137527","1550.26506437362","1225.20864520774","1424.82131627914","1272.11078068903","1190.91288842997","1019.88235043111","840.18943186916","1128.49906250685","1360.96440884173","1240.94603103604","881.473053618485","1414.35686517875"
"Tau2.1.0","732467.159914627","812398.226233235","667456.102876505","720807.087142276","739057.511414224","858235.193542131","596453.474744423","729606.461716933","916325.536796642","772311.973232252","1408855.20968297","881043.14028105","939393.022267857","867238.485430709","1037946.95104987","1099063.98124667"
"NPQ.1.0","0.234674366323699","0.0285123856027068","0.28069152407013","0.132478044904835","0.0821699604079226","0.0558938128880843","0.157905536721757","0.0764158812710163","0.0487198162392176","0.0679796327765454","0.205446140128224","0.293135427951126","0.2359806484124","0.313301187314455","0.188482679788959","0.262361657277351"
"qP.1.0","0.735461461324488","0.5846196055973","0.79472565893127","0.515439823638163","0.58791549664298","0.625491041357492","0.699911355075573","0.613338913966941","0.574263975477316","0.650935217611","0.69247358738373","0.861398561155591","0.801813589200827","0.85019394296697","0.834693592278258","0.754464399733614"
"ABQ.1.0","0.0320958579821733","0","0.00468263613019149","0.00145895756682446","0.0194344658256201","0","0","0","0","0","0.113023889829684","0.0204035997125869","0.05204079502341","0.11119604702615","0.153878927380403","0.0497024394431091"
"Quant.2.0","0.300261835328778","0.26591379253482","0.346953415695444","0.317429279359832","0.274462170533706","0.278635559690969","0.309293648383503","0.301137459074955","0.241844616964369","0.286763111621911","0.243014156647512","0.302283474085277","0.279898982262777","0.286365777328349","0.307098522579649","0.273962436252925"
"Sigma.2.0","9.14383229286792","7.47759299239898","7.51344500689422","7.32809014520262","7.61312644933842","7.21356951010266","6.05381643554009","5.62730716847957","6.16479685976024","7.34674319682768","6.46275407114057","6.02468890632372","7.28458251037513","6.65756007407195","6.39103700063485","6.78252286172792"
"Connect.2.0","0.261134599374439","0.082394796072393","0.175099015428809","0.094724732360661","0.0708178553335099","0.0811277320417075","0.0451735498881939","0.0158524738207085","0","0.118666031648025","0.07919753307495","0.0468234235119771","0.14693880693458","0.0585652518548545","0.0896635145018541","0.091092466618458"
"Tau1.2.0","1050.07406629958","1382.054797131","1081.26404403394","1285.63991721312","1458.61449691942","1338.10053676321","1367.26318154389","1123.46360795068","1305.54133528819","1056.5281233486","831.753018232617","1170.20603925076","1447.2341979763","1305.60033274937","900.794051453546","1452.97350733565"
"Tau2.2.0","705524.048268385","737620.407735256","618619.785612547","626127.983743065","651506.502281063","751224.93378638","543906.654797072","691188.371966334","738449.085628025","677630.195124655","1272798.97913702","854014.71872744","899814.001095225","836831.573285271","1013529.85543064","1052328.31997934"
"NPQ.2.0","0.275966338025718","0.0658818414953406","0.299253961996494","0.167255013882086","0.10385697739335","0.0628321643695966","0.157223016767265","0.114249813121663","0.0406533047172167","0.0942740952526955","0.21522308434144","0.315912846118688","0.271541345178284","0.330242302007791","0.212449091064308","0.2658600936094"
"qP.2.0","0.728480026849125","0.596043675922039","0.790283059718187","0.515472505881834","0.590638704767936","0.605811205115239","0.689915117036297","0.63995604486169","0.544479687976081","0.651726238685449","0.683915689602883","0.860867085485452","0.803481762978304","0.839313379283444","0.833924485704475","0.750825387395329"
