"","Sint-6-1","Sint-6-2","Sint-6-3","Sint-6-4","Sint-6-5","Sint-1-1","Mcav-11-1","Mcav-11-2","Mcav-11-3","Mcav-11-4","Mcav-11-5","Mcav-4-1","Mcav-33-1","Mcav-34-1","Mcav-1-1","Mcav-56-1","Mcav-57-1","Mcav-58-1","Mcav-59-1","Mcav-60-1","Mcav-61-1","Ofav-52-1","Ofav-51-1","Ofav-483-1","Ofav-575-1","Ofav-1-1","Ofav-57-1","Ofav-58-1","Ofav-132-1","Ofav-61-1","Ofav-56-1","Ofav-56-2","Ofav-56-3","Ofav-56-4","Ofav-56-5","Apal-58-1","Apal-24-1","Apal-33-1","Apal-68-1","Apal-85-1","Apal-8-1","Apal-58-2","Apal-13-1","Apal-14-1","Apal-7-1","Apal-5-1","Apal-58-3","Apal-20-1","Apal-58-4","Apal-58-5","Pcliv-5-1","Pcliv-3-1","Pcliv-1-1","Pcliv-2-1","Pcliv-7-1","Pcliv-8-1","Pcliv-9-1","Pcliv-12-1","Pcliv-14-1","Pcliv-17-2","Pcliv-17-3","Pcliv-17-4","Pcliv-17-5","Ssid-1-1","Ssid-2-1","Ssid-6-1","Ssid-7-1","Ssid-8-1","Ssid-9-1","Ssid-11-1","Ssid-12-1","Ssid-19-1","Ssid-20-1","Ssid-16-1","Ssid-16-2","Ssid-16-3","Pstr-1-1","Pstr-1-2","Pstr-1-3","Pstr-1-4","Pstr-1-5","Pstr-2-1","Pstr-3-1","Pstr-4-1","Pstr-5-1","Pstr-6-1","Pstr-7-1","Pstr-8-1","Pstr-9-1","Pstr-10-1"
"Quant.1.0","0.354534625313011","0.341295738229894","0.359183187078482","0.349578320231518","0.336951936008785","0.343556388600825","0.360802689261582","0.430797195785884","0.412893862648474","0.419914780133569","0.450922203913549","0.394642215194466","0.439618598891135","0.381391461473274","0.411338814334707","0.455814413312271","0.456281290693509","0.422806224379047","0.415018946769581","0.454040226900828","0.439852126089078","0.447768703621284","0.433946011113814","0.426799030574565","0.459643631301588","0.433376560603673","0.422132021308009","0.406293400309587","0.40939439120657","0.384577691999821","0.380351867769165","0.348834888671383","0.352410965446879","0.338837642092149","0.307036950027109","0.434805898905439","0.413359563022151","0.368288206451159","0.448290066311161","0.441096644911031","0.434847479483492","0.474327786102651","0.390711926497771","0.3738495723009","0.374617750206603","0.316346082145547","0.335045198035705","0.341353842887946","0.375669799624803","0.391890668264625","0.427174382618344","0.420402771293837","0.415180065433267","0.439313336695985","0.452865293221329","0.434859980848352","0.43552802107934","0.431842682003208","0.411732037472041","0.424045555935375","0.411495821484759","0.41536696970235","0.419050915574762","0.307601602645733","0.277115442765229","0.278640400241037","0.381597055309935","0.359181490858133","0.331102497994084","0.435445413515147","0.321346308615267","0.389848636264204","0.3284041351156","0.413179391402736","0.375510704955015","0.363519828436496","0.345314551254944","0.349015786661519","0.341705785354004","0.325798061088085","0.3607460542713","0.367655528502079","0.381672398367342","0.383743074308659","0.381860081231639","0.398551771521882","0.397694366959544","0.388423237332229","0.382934536970966","0.404249298606235"
"Sigma.1.0","7.25321662408669","7.8022717844056","6.70812115177382","6.54214450310325","6.90774429005162","5.88300967489958","6.46456982606076","5.88153388704293","4.54848693133312","5.85766425361235","5.81203464664328","4.32045209331627","6.00402051162975","7.26000435574314","6.10375746215892","5.07335061521288","5.67462000304193","6.01738093611318","6.25172210749397","5.62247267123407","4.98645504844544","4.07305620822646","4.74879571305279","5.08502730403891","4.56740751836394","4.93160406916511","4.97270877782593","4.9814532607398","5.18312545635859","5.79487110977564","4.86559588121388","4.81254776193143","5.5343377509471","4.92951236560683","5.69961915173758","4.8530472708904","5.08069527481296","4.16104768901691","4.34884470686802","4.20909548485807","4.23075873255191","3.45525400557003","3.65752326852348","3.90063015258439","4.56184715092724","3.69083136360114","3.82463882390905","3.89638013752462","3.43293649285167","3.72792709804082","4.0378903070264","5.01327891694936","5.28946452906143","3.5103712664689","4.19218218723074","4.37776636079341","4.80671929839811","3.66981417412228","3.90898798135756","3.36909309584818","3.91452613027951","4.26208626822353","4.22473968843307","5.66564829839509","5.82853483463831","5.65975913905479","5.54375144833772","5.79303181281466","6.24896453369411","4.73321643196583","5.99138896626979","5.82568753164933","6.02231831669724","5.2990156489707","6.41570711883272","5.86290618074462","3.5203526295108","3.97554579269059","4.56731721386389","3.40937086485858","4.08191796886356","3.90174872022126","4.27286668456891","3.28039406032529","3.20099949584938","3.79922996946514","4.48058130871724","4.1495177982951","6.07701238416702","4.94107184745454"
"Connect.1.0","0.106697486920454","0.00393743558930212","0","0.0384080914398256","0.0337109281903692","0","0.0438981298298933","0.07473767444261","0.0544355221811045","0.0928366154527235","0.121274782709909","0.089146874701621","0.138153675699775","0.0286145931820996","0.0908124115714465","0.0903475356761605","0.138053172384111","0.120369931449219","0.125434624943457","0.127853222449308","0.089037347714681","0","0","0.0157416323699993","0","0.0548323899496285","0.0792168968779504","0.081143244001498","0.0261494645894455","0","0","0.0117556805884771","0.0307324194457112","0","0.006983774334322","0.0609539172637185","0.00761342097598275","0","0","0.0305567816389322","0.0776158362437075","0.0676379858807055","0","0","0.0848282306919815","0.082354257153342","0","0.081937321903018","0.0188231578284594","0.083923656030511","0.0278454017335715","0","0","0.077125106337847","0.0447811022897968","0.078186279017937","0","0","0.027159551037422","0.00675360142000125","0","0.0288923731582758","0","0","0","0","0","0.0061432975961495","0","0.0818579959075015","0","0.059839770749513","0","0","0.00233110123578021","0","0.131837512823253","0.081810853469582","0.0489205526530802","0.0654964723156445","0.059593496457618","0","0.00448372748529651","0.152635407299147","0.0352118838080284","0.0820013881125371","0.0382340937312589","0.0773912076839075","0.0205482343949357","0.0392179071331853"
"Tau1.1.0","1440.42169933757","1619.81991708825","1799.19799057807","2035.6728690429","2449.77802131621","3121.95056026488","3433.63294631308","2297.69284310765","2137.71072524353","1655.63945252628","1148.34885272073","3589.16014185931","1004.79708254844","1227.37658731513","1084.440190657","906.821333439772","988.849635366495","1033.20149921336","1206.64300019483","973.465012876318","1029.66831887523","1105.22626742225","1396.45309821796","1415.40204521404","1203.29824344834","1206.5463685229","1155.82371240772","1141.01763218327","1307.17509929972","1729.21923739582","1568.4415089021","1297.47689271458","1616.63742783301","1653.913149965","2217.70255618074","1499.8854658719","1439.34984815522","1619.73259647226","1537.71142185122","1402.66997721708","1193.1155089881","1185.2883978642","1299.17328394721","1391.70786385597","1759.15137604727","1487.65481687677","1807.10117961168","1620.75132246597","2007.23255578904","1724.76829063286","663.721469602471","1078.51012514377","1043.8299361916","635.787030477819","758.060260252078","821.849128762861","900.417866768216","872.684037941547","2225.21788606126","1049.6600317967","1140.25269073401","1074.94957579506","1183.92187054994","4654.32995686125","4763.14828274736","3694.02376961764","1883.07181827288","2402.06787797406","2335.67407098853","1607.97858084226","3791.18951564153","1739.79303370329","2637.33661639958","1723.22443307869","1887.86716791152","1839.40431919152","929.730428029485","1167.18539675093","1524.65749281185","1716.14791637746","1507.0566430447","1626.14719292522","1749.58619344899","1040.52759075062","1182.05784359486","1366.65177858372","1820.88820682554","1471.51035129742","1458.83480725353","1865.09922684524"
"Tau2.1.0","798717.641531091","794213.098831494","1119501.75739022","997193.292517033","685778.739750569","893121.447372969","496855.604344944","372429.804329065","539582.764901693","468728.418518974","477173.573428781","481138.18075252","635906.660414136","501345.874964899","466730.999157841","737530.834152133","909932.971867737","637530.220866422","499706.537697783","695673.001717919","588135.904362094","588869.800994757","610695.762196612","642191.880431759","530405.377301269","591973.42490957","643639.521056769","669099.302732132","751349.568616099","652080.920519058","1028736.40235673","889165.223765606","882802.855544344","813505.739031359","933116.031745953","974237.745626456","725185.458724615","1013219.76549694","679334.887151361","670394.262570566","751465.588054904","601130.891179306","1014128.75364453","923681.782631935","798273.376508634","988488.646371608","889523.675813738","958936.32425531","846289.892980149","820839.579240316","590469.77963628","508597.231948145","424435.728322997","763643.475523054","541060.293644089","567574.345667752","519123.528893196","633315.971172191","199608.1801886","686860.549451681","860445.247402608","622456.366291075","597605.588513956","1128425.44627538","1171500.87826167","1729971.87058291","651060.218905285","694213.461113762","878341.964639624","607644.866844364","649778.413021961","528841.709364094","946671.495519125","659770.18419066","688255.178669095","561361.952389347","1391786.56010107","1420514.19113446","1355078.58934008","1806665.31586527","868999.239014703","865469.882020959","1037419.17780806","1299875.44911544","1230370.77044616","1273328.07548038","950944.652457247","853024.634134358","559425.331193723","775763.293370741"
"NPQ.1.0","0.217667622861185","0.111144467089528","0.136508354050267","0.170183560312132","0.0421713358169165","0","0","0","0","0.0617009332882067","0.168396716647825","0","0.262388526492668","0.263258876421455","0.104931209166841","0.293528933244643","0.339126639842419","0.205843332058217","0.129661003005026","0.2771651510343","0.143206012533364","0.360573629996315","0.246352385542322","0.256984731952295","0.263994257878906","0.250267096868338","0.363041784039771","0.311114479170654","0.266308052532103","0.176374047197069","0.179248241422134","0.208942296231201","0.178185243162954","0.0907414314480357","0.0591970661359192","0.276029364007192","0.270381831068288","0.202138985279935","0.242518101742219","0.242516671942845","0.285623921770644","0.292698758551836","0.073131536767466","0.230752531641902","0.137268661578867","0.0777052966223377","0.063244668290185","0.170386177625858","0.0451613607094342","0.111759320286836","0.114210913247454","0.0411709998213874","0.178632885632171","0.208472258333692","0.204618507344562","0.206054615070984","0.142675719379526","0.106580449618812","0.195367490549187","0.177821985306728","0.194303988655349","0.143574673860353","0.142983674971867","0","0","0.0441749642500217","0.189187617059947","0.112071785150308","0.139011337137585","0.244765960190795","0.0980269100774484","0.209416317877157","0.132787683668662","0.215842125824664","0.183633209573447","0.152917560730208","0.0734949859673255","0.106126047959506","0.0515262735412576","0.0585600419109474","0.123784846313802","0.122502303859477","0.113885843454221","0.196351468110707","0","0.200143975409347","0.165184461087998","0.17676467077859","0.207643632353293","0.171516017048465"
"qP.1.0","0.819621775759161","0.718550853010913","0.807366924149117","0.722974775830192","0.711903088902494","0.570092765438958","0.659241056243146","0.692273990088178","0.660566051812345","0.727335852073923","0.800483347957622","0.725163170420694","0.828771657827643","0.981026364205609","0.904892665945829","0.939761064356435","0.976411907227557","0.898553981823457","0.872652128194083","0.949153612932614","0.969345394759905","1","1","1","1","0.995082562539378","1","0.959889872067339","0.94216709159055","0.880535611443284","0.897370386425824","0.837914569600334","0.820576752922747","0.744841951530084","0.679026908093942","1","1","0.92476984862257","1","1","1","1","0.857944823120777","0.971278357103975","0.867059282814047","0.698126124952684","0.721567096333447","0.832889350267144","0.840750446220828","0.951700071343824","0.805771864320692","0.772224908988981","0.878699670596204","0.850136047751568","0.922015287341637","0.906556590774485","0.908516677913686","0.960515399434759","0.877601190625877","0.824595595430893","0.871425060873644","0.800447529282347","0.844792644543601","0.686985760858773","0.642629259087502","0.649207390758831","0.906196728919959","0.79475186565042","0.766416975640394","0.957226549591454","0.732346964043924","0.859948163273117","0.818341782546928","0.945915714266817","0.845350474102405","0.811459628305005","0.88564324701266","0.899478460511319","0.673398736902891","0.727341369946299","0.788873530440287","0.885560965543694","0.824666573378215","0.94127852780025","0.727488065347558","0.903771004787889","0.965486455675868","0.900390952138417","0.804381306534875","0.843308540610966"
"ABQ.1.0","0","0","0","0","0","0","0","0","0","0","0","0.00725261779331776","0","0","0.0542015446938331","0","0","0","0.0697287451100669","0","0","0.139763357897118","0.117286764865808","0.0764533721178122","0.0603849765397163","0","0.0352715945895551","0.00917521388205178","0","0","0.0204314710191816","0","0","0","0","0.0627294942318906","0","0","0.0260160107748301","0","0","0.183546755918436","0.100626400697793","0.0350346465256623","0","0.0484180874778647","0","0.0871834288071063","0.0946587191197811","0.0342262960146775","0","0","0.0466664399559067","0","0.00159492201409983","0","0","0.0275745603312938","0","0.0164854792051341","0","0","0","0.193732951802098","0","0","0","0","0","0","0","0","0","0","0","0","0.0724950239811437","0.11686838549202","0","0.087644171584574","0.0121528662199436","0.105729884301955","0","0","0.0547520434511672","0","0","0","0","0"
"Quant.2.0","0.277266643667251","0.268628125038054","0.278110619172844","0.261861712667724","0.26698993834176","0.242921863185487","0.284450445840982","0.338030373008183","0.319072436014596","0.330358361636","0.378290210141355","0.311637581799836","0.381101261395934","0.327556964456548","0.331455981956908","0.396390540223123","0.378472211063125","0.353848192211039","0.334227715190506","0.37019665682581","0.360943663674332","0.345650402422032","0.332290153659098","0.332446078197539","0.369480030051069","0.345623769935193","0.354026904836092","0.337874564767704","0.31434528184171","0.287792915598705","0.290562001481486","0.280493248680807","0.278783205829591","0.268546485296988","0.240969187523452","0.329694742784386","0.334292755690166","0.285189487901123","0.353509996975926","0.350909001274325","0.360419949319253","0.380039258869429","0.318570404120486","0.310841019222198","0.288574999956582","0.247486940506713","0.263397501652185","0.261835957163151","0.29572529863805","0.295146670378125","0.348164937476707","0.312065502463601","0.334537934031982","0.358927868789207","0.362734246082081","0.351580829471287","0.352257180983391","0.32330213434632","0.322313909183132","0.33362195809101","0.33508392232819","0.326349413485929","0.320975635929243","0.198185270815425","0.184323999511418","0.203908529324701","0.293649452574117","0.287500317411159","0.275050565196658","0.325162853453387","0.239529351306596","0.312180916981827","0.257725170913977","0.315478095487704","0.286583859831135","0.286003640062469","0.258008295040011","0.256052109703059","0.248036324257699","0.249852180638045","0.266391440656642","0.295530428258722","0.29107593787011","0.308018954169646","0.291234525823484","0.315787311288423","0.292289920176449","0.309181540870054","0.307201588412304","0.296398905938603"
"Sigma.2.0","6.22331381600969","6.67827862305885","5.26216810129787","5.73130779057319","6.26671598092412","5.58720540959653","5.94299000875011","5.60292669611003","4.32486395782883","5.31748481210126","5.09851073514981","4.35201559908701","5.15443451608548","5.75343068265904","5.49221393605885","4.60112181626993","5.22376175677293","5.53059682191546","6.72032170684845","4.60094938331214","4.66880981844671","2.94596916849492","4.1084457901484","3.78666803414503","3.66857584612421","3.6754717513548","3.85531523982614","4.15817116283527","4.23752869241018","4.21041998428787","4.12439991750431","4.07448063888794","4.73717844005855","4.15894398848936","4.57810463331378","3.35826758527713","4.08606448440423","3.466226835218","3.93702414451566","3.63884767836046","3.91997873161142","2.96689220843182","3.42071802643207","3.40966803569488","3.88345358382778","3.6629742057038","3.60446760080933","3.29460266923995","3.32570652269724","3.60430361620036","3.66344683428825","4.17948073791819","4.70145404263439","3.09450862786104","4.03201722163469","3.78603934181038","4.22491821626512","2.99239064946381","3.65468244506695","2.84824946430042","3.24051442591925","3.95335710535155","3.20482847809861","7.02701209364621","4.66586364479128","4.38988910619766","4.53483140167697","4.92066382690292","5.02409050907748","4.04048489868386","4.22324009161458","4.84394554672523","4.71513029477997","4.22363943592327","4.90313363444072","4.64253295133168","3.42721233970462","3.63178536190555","3.72864927343674","3.24656240381901","3.79164276606386","3.67760345593039","3.88250302384649","3.20183635678187","3.38641250020413","3.50590974902916","4.40161545925053","3.95574084746161","5.15695706250543","4.59401413142095"
